APP_Libelle_activite_etablissement,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Libelle_commune_2,Date_inspection,Synthese_eval_sanit,Agrement,geores,Adresse_2_UA_2,filtre,Numero_inspection,SIRET
Restaurants,LE REFUGE,67 BD DE L OCEAN,33115,La Teste-de-Buch,La Teste-de-Buch,2024-07-31T02:00:00+02:00,Satisfaisant,,"44.633089,-1.202381",67 BD DE L OCEAN,Restaurants,24-076166-1,88092655500025
Traiteur|Boucherie-Charcuterie,BOUCHERIE DES QUATRE SAISONS,52 RUE DE METZ,62520,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,2024-07-23T02:00:00+02:00,Très satisfaisant,,"50.524241,1.585631",52 RUE DE METZ,Métiers de bouche,24-068996-1,88093799000013
Commerce alimentaire,SANNA VITTORIO,rt 20,20290,Lucciana,Lucciana,2023-12-19T01:00:00+01:00,Satisfaisant,,,rt 20,,23-105419-1,88093966500019
Restaurants,L'ETOILE D'ASIE,19 AV DE LA VICTOIRE DU 11 NOV,28400,Nogent-le-Rotrou,Nogent-le-Rotrou,2024-05-02T02:00:00+02:00,Satisfaisant,,"48.325128,0.810099",19 AV DE LA VICTOIRE DU 11 NOV,Restaurants,24-032212-1,88094105900011
Boulangerie-Pâtisserie,CHEZ MIRA,2 RUE DE CHARTRES,75018,Paris 18e  Arrondissement,Paris 18e  Arrondissement,2024-01-17T01:00:00+01:00,Satisfaisant,,"48.884405,2.355547",2 RUE DE CHARTRES,Métiers de bouche,24-002786-1,88096036400011
Producteurs fermiers,FERME DU FRAGNE,FERME DU FRAGNE,10110,Landreville,Landreville,2023-10-17T02:00:00+02:00,Satisfaisant,,"48.058249,4.45594",FERME DU FRAGNE,Producteurs fermiers,23-085335-1,88096063800018
Producteurs fermiers,FERME DU FRAGNE,FERME DU FRAGNE,10110,Landreville,Landreville,2023-10-17T02:00:00+02:00,Satisfaisant,,"48.058249,4.45594",FERME DU FRAGNE,Producteurs fermiers,23-085340-1,88096063800018
Restaurants,CAFE DU CENTRE,57 RUE MONTORGUEIL,75002,Paris 2e  Arrondissement,Paris 2e  Arrondissement,2024-06-04T02:00:00+02:00,A améliorer,,"48.865475,2.346885",57 RUE MONTORGUEIL,Restaurants,24-044949-1,88097049600027
Restaurants,HAPPINESS,15 RUE DU VALLON DE LA VIERGE,13290,Aix-en-Provence,Aix-en-Provence,2024-04-10T02:00:00+02:00,Très satisfaisant,,,15 RUE DU VALLON DE LA VIERGE,Restaurants,24-024836-1,88099276300016
Restaurants,L'ATELIER,51 PL SAINT SAUVEUR,14000,Caen,Caen,2024-04-09T02:00:00+02:00,Satisfaisant,,"49.183076,-0.367914",51 PL SAINT SAUVEUR,Restaurants,24-059540-1,88100163000014
Restaurants,PKC,5 PL DE L EGLISE,60230,Chambly,Chambly,2024-03-13T01:00:00+01:00,Satisfaisant,,"49.166418,2.244946",5 PL DE L EGLISE,Restaurants,23-111250-1,88101044100015
Restaurants,L'ESCARGOT,30 RUE DU MARECHAL LECLERC,49400,Saumur,Saumur,2024-05-28T02:00:00+02:00,Satisfaisant,,"47.256581,-0.082235",30 RUE DU MARECHAL LECLERC,Restaurants,24-039836-1,88102188500010
Producteurs fermiers,GAEC LA FERME NUAGE,2449 ROUTE DE SIVRY,59740,Beaurieux,Beaurieux,2023-08-16T02:00:00+02:00,Très satisfaisant,,"50.17651,4.130126",2449 ROUTE DE SIVRY,Producteurs fermiers,23-067198-1,88103240300019
Restaurants,LITTLE ITALY,105 COURS NAPOLEON,20090,Ajaccio,Ajaccio,2024-07-02T02:00:00+02:00,Satisfaisant,,"41.931054,8.739294",105 COURS NAPOLEON,Restaurants,24-058187-1,88103705500020
Restaurants,CHEZ RAPHAEL,30 RUE DE LA TETE D'OR,69006,Lyon 6e  Arrondissement,Lyon 6e  Arrondissement,2024-02-26T01:00:00+01:00,Satisfaisant,,"45.770705,4.852029",30 RUE DE LA TETE D'OR,Restaurants,24-012878-1,88105930700010
Restaurants,IRS RESTO,9 RUE DE BEAUNE,71150,Chagny,Chagny,2024-02-06T01:00:00+01:00,Satisfaisant,,"46.911188,4.752757",9 RUE DE BEAUNE,Restaurants,24-008391-1,88106103000022
Restaurants,TCT 95,78 AV DE LA MARNE,92600,Asnières-sur-Seine,Asnières-sur-Seine,2023-08-17T02:00:00+02:00,Satisfaisant,,"48.909615,2.286739",78 AV DE LA MARNE,Restaurants,23-064829-1,88106304400013
Restaurants,FRITERIE MOMO GRANDE RESIDENCE,RUE ROBERT SCHUMANN,62300,Lens,Lens,2023-09-02T02:00:00+02:00,Très satisfaisant,,"50.442043,2.824394",RUE ROBERT SCHUMANN,Restaurants,23-069464-1,88107107000026
Restaurants,EIRL CARION SEBASTIEN,34 RUE NICOLAS DESPRET,59132,Wallers-en-Fagne,Wallers-en-Fagne,2024-05-17T02:00:00+02:00,Satisfaisant,,"50.063628,4.171313",34 RUE NICOLAS DESPRET,Restaurants,24-036355-1,88108056800010
Chocolatier|Boulangerie-Pâtisserie,MAISON MOINE,9 RUE TRONCHET,69006,Lyon 6e  Arrondissement,Lyon 6e  Arrondissement,2023-08-23T02:00:00+02:00,Très satisfaisant,,"45.769598,4.844441",9 RUE TRONCHET,Métiers de bouche,23-066033-1,88108475000028
Restaurants,FAGOT,2 PASSAGE GEFFROY DIDELOT,75017,Paris 17e  Arrondissement,Paris 17e  Arrondissement,2023-11-22T01:00:00+01:00,Très satisfaisant,,"48.881925,2.317608",2 PASSAGE GEFFROY DIDELOT,Restaurants,23-096350-1,88108487500015
Boucherie-Charcuterie,COTE ET VIANDES,7 PASSAGE LINO VENTURA,49620,Mauges-sur-Loire,Mauges-sur-Loire,2023-09-22T02:00:00+02:00,Très satisfaisant,,,7 PASSAGE LINO VENTURA,Métiers de bouche,23-077163-1,88108823100017
Boucherie-Charcuterie,BOUCHERIE ALI,10 RUE DES HETRES,77210,Avon,Avon,2024-07-05T02:00:00+02:00,Satisfaisant,,"48.412767,2.736726",10 RUE DES HETRES,Métiers de bouche,24-060775-1,88110215600018
Restaurants,SARL TBO 72,3 AV JOEL LE THEULE,72300,Sablé-sur-Sarthe,Sablé-sur-Sarthe,2024-07-09T02:00:00+02:00,Très satisfaisant,,"47.840286,-0.32749",3 AV JOEL LE THEULE,Restaurants,24-062366-1,88110523300012
Restaurants,POKE TIME ROUEN,88 RUE CAUCHOISE,76000,Rouen,Rouen,2024-06-18T02:00:00+02:00,Satisfaisant,,"49.445437,1.086742",88 RUE CAUCHOISE,Restaurants,24-050578-1,88111019100023
Libre service|Alimentation générale|Boulangerie-Pâtisserie,SANN'ATTRACTIF ESPACE MULTISERVICE SOLIDAIRE,4 RUE DES ECOLES,23110,Sannat,Sannat,2024-07-02T02:00:00+02:00,Satisfaisant,,"46.119498,2.406418",4 RUE DES ECOLES,Supermarchés/alimentation générale,24-058111-1,88111156100018
Restaurants,HIMALAYA,5 AV DE L EGALITE,95250,Beauchamp,Beauchamp,2024-01-22T01:00:00+01:00,Satisfaisant,,"49.017297,2.187544",5 AV DE L EGALITE,Restaurants,24-003627-1,88112246900011
Transformation de lait ou produits laitiers,LA FROMAGERIE DU HAUT ANJOU,3 LES GRANDS POIRIERS,53290,Bierné-les-Villages,Bierné-les-Villages,2024-02-15T01:00:00+01:00,A améliorer,53029001,"47.817845,-0.55033",3 LES GRANDS POIRIERS,,24-012168-1,88112590000012
Boucherie-Charcuterie,ATELIER EXPRESS,142 AV DE GRAMMONT,37000,Tours,Tours,2023-10-20T02:00:00+02:00,A améliorer,,"47.379181,0.693578",142 AV DE GRAMMONT,Métiers de bouche,23-086062-1,88114554400014
Restaurants,HOWARD HOUSE,1 AV LOUIS MOUILLARD,69500,Bron,Bron,2023-12-05T01:00:00+01:00,Satisfaisant,,"45.728644,4.935043",1 AV LOUIS MOUILLARD,Restaurants,23-102189-1,88114773000017
Restaurants,LE TAILLEBOURG,25 BD DE CHARONNE,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2024-04-24T02:00:00+02:00,Satisfaisant,,"48.853314,2.37515",25 BD DE CHARONNE,Restaurants,24-029475-1,88114807600014
Restaurants,ROADSIDE,18 RUE DES FOLIES D'AHAUT,22100,Taden,Taden,2024-04-08T02:00:00+02:00,Très satisfaisant,,"48.47227,-2.044627",18 RUE DES FOLIES D'AHAUT,Restaurants,24-076996-1,88115495900038
Restaurants,ANH YELLOW,2 PL SAINT PIERRE,87000,Limoges,Limoges,2024-04-09T02:00:00+02:00,Satisfaisant,,"45.831031,1.261043",2 PL SAINT PIERRE,Restaurants,24-060064-1,88116667200017
Libre service|Alimentation générale,EPI SERVICE,39 RUE CALMETTE,37540,Saint-Cyr-sur-Loire,Saint-Cyr-sur-Loire,2024-06-26T02:00:00+02:00,Très satisfaisant,,"47.407766,0.676754",39 RUE CALMETTE,Supermarchés/alimentation générale,24-056826-1,88116738100014
Restaurants,LA BONNE BIERE,32 RUE DU FAUBOURG DU TEMPLE,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2023-10-12T02:00:00+02:00,Satisfaisant,,"48.868909,2.3681",32 RUE DU FAUBOURG DU TEMPLE,Restaurants,23-083451-1,88116964300015
Restaurants,BLOOMIE,23 RUE PIERRE DEMOURS,75017,Paris 17e  Arrondissement,Paris 17e  Arrondissement,2024-07-17T02:00:00+02:00,Satisfaisant,,"48.881045,2.293961",23 RUE PIERRE DEMOURS,Restaurants,23-112704-1,88118782700038
Restaurants,WAFFLE FACTORY,17 AV DE LA SOMME,33700,Mérignac,Mérignac,2024-03-15T01:00:00+01:00,Très satisfaisant,,"44.828841,-0.665497",17 AV DE LA SOMME,Restaurants,24-035420-1,88118912000028
Restaurants,COMITE DE QUARTIER DE MONESIE,RUE DE L'ECOLE,97228,Sainte-Luce,Sainte-Luce,2024-02-12T01:00:00+01:00,Très satisfaisant,,"14.465638,-60.929368",RUE DE L'ECOLE,Restaurants,24-015171-1,88119468200012
Métier de bouche,FT BOULANGERIE,65 AV DES GOBELINS,75013,Paris 13e  Arrondissement,Paris 13e  Arrondissement,2023-12-12T01:00:00+01:00,A améliorer,,"48.83388,2.354193",65 AV DES GOBELINS,Métiers de bouche,23-103534-1,88119525900018
Transformation de lait ou produits laitiers,GAEC LA FERME DU HAUT CAZAL,LIEU DIT LOSQUE,9420,Castelnau-Durban,Castelnau-Durban,2024-07-23T02:00:00+02:00,Très satisfaisant,09082025,"42.977807,1.3245",LIEU DIT LOSQUE,,24-019769-1,88119547300015
Boulangerie-Pâtisserie,LES DELICES DE TUNIS,17 RUE COURAT,75020,Paris 20e  Arrondissement,Paris 20e  Arrondissement,2024-06-05T02:00:00+02:00,Satisfaisant,,"48.857622,2.405467",17 RUE COURAT,Métiers de bouche,24-043761-1,88119630700030
Restaurants,THAI BREAK,LES CENT ARPENTS,45770,Saran,Saran,2024-02-20T01:00:00+01:00,Satisfaisant,,,LES CENT ARPENTS,Restaurants,24-064853-1,88120116400020
Boulangerie-Pâtisserie,L'EPI D'OR,36 AV JEAN BAPTISTE CHAMPEVAL,94000,Créteil,Créteil,2024-02-14T01:00:00+01:00,Satisfaisant,,"48.794464,2.456116",36 AV JEAN BAPTISTE CHAMPEVAL,Métiers de bouche,24-009721-1,88120467100013
Restaurants,ERDEM,136 AV PIERRE SEMARD,95400,Villiers-le-Bel,Villiers-le-Bel,2023-08-10T02:00:00+02:00,Satisfaisant,,"48.998011,2.414419",136 AV PIERRE SEMARD,Restaurants,23-063404-1,88120600700018
Restaurants,CASA LOUNGE,688  Avenue des Follaz,73000,Chambéry,Chambéry,2024-04-04T02:00:00+02:00,Satisfaisant,,"45.584017,5.901009",688  Avenue des Follaz,Restaurants,24-027147-1,88120679100017
Fromagerie,CASA LOUNGE,688  Avenue des Follaz,73000,Chambéry,Chambéry,2024-04-04T02:00:00+02:00,Très satisfaisant,,"45.584017,5.901009",688  Avenue des Follaz,Métiers de bouche,24-035974-1,88120679100017
Restaurants,GEMELLO,41 RUE DE PARIS,95130,Franconville,Franconville,2023-10-10T02:00:00+02:00,Satisfaisant,,"48.982065,2.231927",41 RUE DE PARIS,Restaurants,23-081760-1,88120686600017
Producteurs fermiers,EARL FERME MATTER,Rue de la carrière,68380,Metzeral,Metzeral,2024-01-04T01:00:00+01:00,Très satisfaisant,,"48.012619,7.073724",Rue de la carrière,Producteurs fermiers,24-000188-1,88120938100014
Restaurants,"L'ILOT, MAGASIN - CAFE - CANTINE",8 PL COURBET,25290,Ornans,Ornans,2024-02-07T01:00:00+01:00,Très satisfaisant,,"47.106792,6.146106",8 PL COURBET,Restaurants,24-045640-1,88121097500010
Restaurants,VBAO,131 RUE DU CHERCHE MIDI,75015,Paris 15e  Arrondissement,Paris 15e  Arrondissement,2023-09-22T02:00:00+02:00,Satisfaisant,,"48.844914,2.318358",131 RUE DU CHERCHE MIDI,Restaurants,23-076248-1,88121250000014
Restaurants,BURGER KING,RUE ANDRE CHAILLOT,51100,Reims,Reims,2023-08-17T02:00:00+02:00,Très satisfaisant,,"49.287498,4.025965",RUE ANDRE CHAILLOT,Restaurants,23-064534-1,88121887900024
Libre service|Alimentation générale,KISHAN SUPERMARKET,16 RUE TROUSSEAU,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2024-04-08T02:00:00+02:00,Très satisfaisant,,"48.851266,2.378808",16 RUE TROUSSEAU,Supermarchés/alimentation générale,24-025010-1,88123151800013
Boulangerie-Pâtisserie,BOULANGERIE MICHELIN,1 RUE DE DOUBS,25300,Pontarlier,Pontarlier,2024-03-04T01:00:00+01:00,Satisfaisant,,"46.905866,6.357257",1 RUE DE DOUBS,Métiers de bouche,24-051873-1,88123995800021
Restaurants,MAISON MINORI,5 RUE DE VARANGES,71640,Givry,Givry,2024-05-24T02:00:00+02:00,Satisfaisant,,"46.783271,4.742607",5 RUE DE VARANGES,Restaurants,24-040262-1,88124410700010
Restaurants,MR BURRITOS,26 RUE CUSTINE,75018,Paris 18e  Arrondissement,Paris 18e  Arrondissement,2023-10-16T02:00:00+02:00,Satisfaisant,,"48.888715,2.347254",26 RUE CUSTINE,Restaurants,23-085585-1,88125205000011
Boulangerie-Pâtisserie,LE REGALE,42 BD JULES GUESDE,93200,Saint-Denis,Saint-Denis,2023-09-12T02:00:00+02:00,Satisfaisant,,"48.936596,2.350251",42 BD JULES GUESDE,Métiers de bouche,23-072062-1,88125287800015
Restaurants,CONCEPT ONE,283 RUE DE BOURGOGNE,45000,Orléans,Orléans,2024-02-07T01:00:00+01:00,Satisfaisant,,"47.899836,1.906303",283 RUE DE BOURGOGNE,Restaurants,24-048781-1,88125497300012
Restaurants,BASILICO,6 RUE DE LA BARRE,71000,Mâcon,Mâcon,2024-04-17T02:00:00+02:00,Très satisfaisant,,"46.305802,4.831898",6 RUE DE LA BARRE,Restaurants,24-041926-1,88125794300012
Restaurants,BASILICO,6 RUE DE LA BARRE,71000,Mâcon,Mâcon,2024-04-17T02:00:00+02:00,Très satisfaisant,,"46.305802,4.831898",6 RUE DE LA BARRE,Restaurants,24-045464-1,88125794300012
Restaurants,CHEZ MO,101 B RUE DE LORIENT,29300,Quimperlé,Quimperlé,2024-06-27T02:00:00+02:00,Satisfaisant,,"47.098526,-1.281261",101 B RUE DE LORIENT,Restaurants,24-057240-1,88126005300015
Restaurants,LE BAR A CREPES,84 RUE DE LA PAROISSE,78000,Versailles,Versailles,2024-03-22T01:00:00+01:00,A améliorer,,"48.806064,2.133691",84 RUE DE LA PAROISSE,Restaurants,24-020442-1,88126317200028
Restaurants,LE FLEURUS,10 BD JOURDAN,75014,Paris 14e  Arrondissement,Paris 14e  Arrondissement,2024-03-21T01:00:00+01:00,Satisfaisant,,"48.819772,2.343031",10 BD JOURDAN,Restaurants,24-020894-1,88126560700013
Boulangerie-Pâtisserie,L'INSTANT GOURMAND,74 RUE ANATOLE FRANCE,93700,Drancy,Drancy,2024-05-06T02:00:00+02:00,Satisfaisant,,"48.926713,2.450567",74 RUE ANATOLE FRANCE,Métiers de bouche,24-032903-1,88127949100016
Restaurants,MOISSERON BENEDICTE,6 RUE DE LA FILATURE,50220,Marcilly,Marcilly,2024-04-25T02:00:00+02:00,Très satisfaisant,,"48.647719,-1.253056",6 RUE DE LA FILATURE,Restaurants,24-045568-1,88129120700028
Restaurants,LE GEORAND,297 RUE DES TROIS PONTS,7510,Cros-de-Géorand,Cros-de-Géorand,2023-11-07T01:00:00+01:00,Très satisfaisant,,"44.792846,4.126269",297 RUE DES TROIS PONTS,Restaurants,23-019485-1,88129860800020
Restaurants,NAAN STOP PIZZA,43 AV DE LA REPUBLIQUE,94500,Champigny-sur-Marne,Champigny-sur-Marne,2024-04-23T02:00:00+02:00,Satisfaisant,,"48.820751,2.510876",43 AV DE LA REPUBLIQUE,Restaurants,24-030339-1,88130091700013
Restaurants,PILO,10 MTE DES CARMELITES,69001,Lyon 1er Arrondissement,Lyon 1er Arrondissement,2023-11-27T01:00:00+01:00,Satisfaisant,,"45.771649,4.827543",10 MTE DES CARMELITES,Restaurants,23-098883-1,88130253300032
Restaurants,LE NARJIS,29 BD D ALSACE,59000,Lille,Lille,2024-06-11T02:00:00+02:00,Satisfaisant,,"50.617842,3.066161",29 BD D ALSACE,Restaurants,24-046498-1,88130439800012
Restaurants,FRITERIE DU CARNOT,26 BD CARNOT,62000,Arras,Arras,2024-04-24T02:00:00+02:00,Satisfaisant,,"50.287163,2.77535",26 BD CARNOT,Restaurants,24-059910-1,88132333100010
Restaurants,HOTEL LA FENOUILLERE,247 CHE DE LA FENOUILLERE,30390,Estézargues,Estézargues,2024-02-09T01:00:00+01:00,Très satisfaisant,,"43.951183,4.63877",247 CHE DE LA FENOUILLERE,Restaurants,24-041208-1,88132908000017
Restaurants,LES FARMERS,13 RUE YVES KERGUELEN,56400,Auray,Auray,2024-06-13T02:00:00+02:00,Très satisfaisant,,"47.661399,-3.004416",13 RUE YVES KERGUELEN,Restaurants,24-050300-1,88134195200011
Libre service|Alimentation générale,SPEED MARKET MOUFFETARD,48 RUE MOUFFETARD,75005,Paris 5e  Arrondissement,Paris 5e  Arrondissement,2023-09-25T02:00:00+02:00,Très satisfaisant,,"48.843456,2.349434",48 RUE MOUFFETARD,Supermarchés/alimentation générale,23-077169-1,88134573000017
Boulangerie-Pâtisserie,SAVEURS ET TRADITIONS,40 RUE DE PARIS,60128,Plailly,Plailly,2024-04-18T02:00:00+02:00,Satisfaisant,,"49.104131,2.581981",40 RUE DE PARIS,Métiers de bouche,24-031209-1,88134908800016
Restaurants,BLADI,115 RUE SAINT MAUR,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2024-04-22T02:00:00+02:00,Très satisfaisant,,"48.866122,2.376806",115 RUE SAINT MAUR,Restaurants,24-028430-1,88135083900018
Libre service|Alimentation générale,LA VIDA LOCAL,45 GRAND RUE LOUIS BOUIS,34160,Sussargues,Sussargues,2024-05-31T02:00:00+02:00,Satisfaisant,,"43.712283,4.005395",45 GRAND RUE LOUIS BOUIS,Supermarchés/alimentation générale,24-043200-1,88137849100016
Restaurants,O COSTA,2 CHS HOTEL DE VILLE,59650,Villeneuve-d'Ascq,Villeneuve-d'Ascq,2024-08-08T02:00:00+02:00,Satisfaisant,,"50.617618,3.133751",2 CHS HOTEL DE VILLE,Restaurants,24-077355-1,88137879800014
Restaurants,TRUCK WAY,73 RUE DES SOLIVATS,93800,Épinay-sur-Seine,Épinay-sur-Seine,2024-08-07T02:00:00+02:00,Satisfaisant,,"48.94953,2.335451",73 RUE DES SOLIVATS,Restaurants,24-077168-1,88138196600012
Restaurants,NEW SCHOOL TACOS,30 RUE MARTYRS DE VINGRE,42000,Saint-Étienne,Saint-Étienne,2023-12-05T01:00:00+01:00,Très satisfaisant,,"45.435956,4.390125",30 RUE MARTYRS DE VINGRE,Restaurants,23-005321-1,88138600700010
Restaurants,OH JAP,8 RUE ARISTIDE BOUCICAUT,14120,Mondeville,Mondeville,2024-02-26T01:00:00+01:00,Satisfaisant,,"49.163255,-0.301712",8 RUE ARISTIDE BOUCICAUT,Restaurants,23-110800-1,88138841700019
Boucherie-Charcuterie,SARL UGER-DEBRIX,5 RUE IBERTHE BERTOUX,61790,Saint-Pierre-du-Regard,Saint-Pierre-du-Regard,2024-03-12T01:00:00+01:00,Satisfaisant,,"48.844589,-0.548725",5 RUE IBERTHE BERTOUX,Métiers de bouche,24-017581-1,88138880500015
Libre service|Alimentation générale,SARL UGER-DEBRIX,5 RUE IBERTHE BERTOUX,61790,Saint-Pierre-du-Regard,Saint-Pierre-du-Regard,2024-03-12T01:00:00+01:00,Très satisfaisant,,"48.844589,-0.548725",5 RUE IBERTHE BERTOUX,Supermarchés/alimentation générale,24-017908-1,88138880500015
Restaurants,LE ROYAL TURENNE,24 RUE DE TURENNE,75003,Paris 3e  Arrondissement,Paris 3e  Arrondissement,2024-06-04T02:00:00+02:00,Très satisfaisant,,"48.856533,2.364523",24 RUE DE TURENNE,Restaurants,24-043261-1,88139282300012
Restaurants,LA NOUVELLE CANTINE - SAS RMTF,Village de Noël,66420,Le Barcarès,Le Barcarès,2023-11-28T01:00:00+01:00,Satisfaisant,,"42.789818,3.034187",Village de Noël,Restaurants,23-098111-1,88140186300017
Restaurants,LMFOOD176,AV GENDARME CASTERMANT,77500,Chelles,Chelles,2023-09-20T02:00:00+02:00,Très satisfaisant,,"48.878429,2.60992",AV GENDARME CASTERMANT,Restaurants,23-075987-1,88141729900024
Restaurants,SUSHI FUSION CORNER,3 ALL DE L EUROPE,33320,Eysines,Eysines,2024-04-23T02:00:00+02:00,Très satisfaisant,,"44.884381,-0.650587",3 ALL DE L EUROPE,Restaurants,24-050099-1,88141893300027
Restaurants,VINCENT MOREAU,11 LE HAMEL,14250,Cristot,Cristot,2024-07-12T02:00:00+02:00,Très satisfaisant,,"49.196835,-0.566601",11 LE HAMEL,Restaurants,24-065699-1,88142370100013
Restaurants,PHILARMONIA,25 RUE EUGENE JUMIN,75019,Paris 19e  Arrondissement,Paris 19e  Arrondissement,2023-09-11T02:00:00+02:00,Satisfaisant,,"48.887814,2.392122",25 RUE EUGENE JUMIN,Restaurants,23-104996-1,88143534100014
Restaurants,SAIGON SEASON,27 B RUE EMILE ZOLA,94600,Choisy-le-Roi,Choisy-le-Roi,2024-05-16T02:00:00+02:00,Très satisfaisant,,"48.767995,2.406067",27 B RUE EMILE ZOLA,Restaurants,24-037119-1,88143856800027
Boucherie-Charcuterie,AMYCA,LD LE VILLAGE,7150,Salavas,Salavas,2024-03-28T01:00:00+01:00,Satisfaisant,,,LD LE VILLAGE,Métiers de bouche,24-022225-1,88146463000014
Fromagerie,MAISON JOUVE,24 RUE PAUL MACHY,59240,Dunkerque,Dunkerque,2024-07-17T02:00:00+02:00,Satisfaisant,,"51.041184,2.405784",24 RUE PAUL MACHY,Métiers de bouche,24-066082-1,88146639500012
Boucherie-Charcuterie,BOUCHERIE DES LANDES,15 RUE DE FERMAINCOURT,28410,Abondant,Abondant,2023-10-05T02:00:00+02:00,Satisfaisant,,"48.775088,1.432025",15 RUE DE FERMAINCOURT,Métiers de bouche,23-080044-1,88147167600018
Restauration collective,GCS OUDINOT COGNACQ-JAY,19 RUE OUDINOT,75007,Paris 7e  Arrondissement,Paris 7e  Arrondissement,2024-04-23T02:00:00+02:00,Satisfaisant,,"48.850032,2.317425",19 RUE OUDINOT,Restauration collective,24-029222-1,88150510100025
Boucherie-Charcuterie,GIRAY MARKET,AV DU MARECHAL TURENNE,70300,Luxeuil-les-Bains,Luxeuil-les-Bains,2023-09-15T02:00:00+02:00,Satisfaisant,,"47.813155,6.369211",AV DU MARECHAL TURENNE,Métiers de bouche,23-073422-1,88151101800015
Restaurants,BIO VINA,163 B RUE DE VAUGIRARD,75015,Paris 15e  Arrondissement,Paris 15e  Arrondissement,2024-06-04T02:00:00+02:00,Satisfaisant,,"48.843537,2.314852",163 B RUE DE VAUGIRARD,Restaurants,24-043012-1,88151932600022
Découpe de viande de boucherie,SELECTION D'ELEVEURS,3 RTE DE JARNAGES,23140,Cressat,Cressat,2023-12-19T01:00:00+01:00,Satisfaisant,23068001,"46.143549,2.105139",3 RTE DE JARNAGES,,23-013143-1,88153021600012
Traiteur|Boucherie-Charcuterie,MAISON FELIX,2 AV DU 8 MAI 1945,69360,Saint-Symphorien-d'Ozon,Saint-Symphorien-d'Ozon,2023-11-16T01:00:00+01:00,Très satisfaisant,,"45.632546,4.855124",2 AV DU 8 MAI 1945,Métiers de bouche,23-096887-1,88153934000011
Boulangerie-Pâtisserie,"LE COMPTOIR DU FROMAGE, FOOD CHURROS EVENTS",7 CARREFOUR LOUIS FOURNIER,84290,Sainte-Cécile-les-Vignes,Sainte-Cécile-les-Vignes,2023-11-10T01:00:00+01:00,Très satisfaisant,,"44.246474,4.885631",7 CARREFOUR LOUIS FOURNIER,Métiers de bouche,23-096175-1,88154565100021
Restaurants,TACOS GOURMET,28 RUE DU 11 NOVEMBRE 1918,71500,Louhans,Louhans,2023-09-15T02:00:00+02:00,Satisfaisant,,"46.63215,5.218729",28 RUE DU 11 NOVEMBRE 1918,Restaurants,23-073682-1,88154812700011
Restaurants,LE BOSPHORE,1 RUE FLORENT EVRARD,62260,Auchel,Auchel,2024-01-05T01:00:00+01:00,Satisfaisant,,"50.50654,2.473692",1 RUE FLORENT EVRARD,Restaurants,24-054434-1,88155221000018
Boulangerie-Pâtisserie,AUX PLAISIRS DU PICPUS,89 RUE DE PICPUS,75012,Paris 12e  Arrondissement,Paris 12e  Arrondissement,2023-12-01T01:00:00+01:00,Satisfaisant,,"48.840128,2.399863",89 RUE DE PICPUS,Métiers de bouche,23-099568-1,88155471100013
Restaurants,ASIAN HOUSE,ZAC DE PROVIDENCE,97139,Les Abymes,Les Abymes,2024-02-29T01:00:00+01:00,Satisfaisant,,"16.264684,-61.505287",ZAC DE PROVIDENCE,Restaurants,23-110779-1,88156417300014
Restaurants,V AND B,46 RUE DE FENOUILLET,31140,Saint-Alban,Saint-Alban,2024-03-05T01:00:00+01:00,Très satisfaisant,,"43.68819,1.406836",46 RUE DE FENOUILLET,Restaurants,24-042945-1,88157165700017
Découpe de fromages,LA PLANCHETTE,26 RUE LA SAUDRE,35133,Romagné,Romagné,2024-04-16T02:00:00+02:00,Très satisfaisant,35243001,"48.341584,-1.283494",26 RUE LA SAUDRE,,24-026486-1,88157391900027
Boulangerie-Pâtisserie|Traiteur,DAGONIA,HOUELBOURG,97122,Baie-Mahault,Baie-Mahault,2024-01-19T01:00:00+01:00,Satisfaisant,,"16.236754,-61.575426",HOUELBOURG,Métiers de bouche,24-003688-1,88157634200011
Restaurants,CHEZ EVER,6 IMP DES SOURCES,7170,Lavilledieu,Lavilledieu,2023-11-28T01:00:00+01:00,Satisfaisant,,"44.571626,4.458157",6 IMP DES SOURCES,Restaurants,23-019543-1,88157774600012
Traiteur|Boucherie-Charcuterie,LA MAISON DES SAVEURS,16 PL EUGENE DELACROIX,76120,Le Grand-Quevilly,Le Grand-Quevilly,2024-05-02T02:00:00+02:00,Satisfaisant,,"49.401671,1.04381",16 PL EUGENE DELACROIX,Métiers de bouche,24-023373-1,88159062400014
Restaurants,LE SHELTER,11 RUE SAINT FIRMIN,34000,Montpellier,Montpellier,2024-07-11T02:00:00+02:00,Satisfaisant,,"43.610518,3.875329",11 RUE SAINT FIRMIN,Restaurants,24-067221-1,88160936600029
Traiteur,BAGEL MAX,23 RUE RICHER,75009,Paris 9e  Arrondissement,Paris 9e  Arrondissement,2023-11-06T01:00:00+01:00,Très satisfaisant,,"48.873982,2.34572",23 RUE RICHER,Métiers de bouche,23-093673-1,88161199000014
